PUBCHEM_SUBSTANCE_ID,smiles
16982045,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc(C)n(-c4ccc(I)cc4)c3C)c(=O)n2C1c1ccc(OC)c(OC)c1
16960859,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(C)n(-c4ccc(F)cc4)c3C)c(=O)n2C1c1ccccc1OCC
16960858,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(C)n(-c4ccc(C(=O)OCC)cc4)c3C)c(=O)n2C1c1ccccc1OCC
163629009,CCOC(=O)c1cnc2c(C)cc(C)cc2c1NCCCCCO
16970772,CCOC(=O)c1cnc2c(ccc3ccccc32)c1Nc1ccc(C(=O)OC)cc1
16970771,CCOC(=O)c1cnc2c(ccc3ccccc32)c1Nc1cccc(C(=O)OC)c1
16970769,CCOC(=O)c1cnc2c(ccc3ccccc32)c1Nc1ccc(OC)cc1
16970768,CCOC(=O)c1cnc2c(ccc3ccccc32)c1Nc1cccc(OC)c1
16970767,CCOC(=O)c1cnc2c(ccc3ccccc32)c1Nc1ccc(C)cc1
16986982,COc1ccc(Nc2nc(N/N=C\c3ccc([N+](=O)[O-])cc3)nc(Nc3ccccc3)n2)cc1
17129375,COc1ccc(-n2c(C)cc(/C=C3/S/C(=N/c4ccccc4)N(CC(C)C)C3=O)c2C)cc1
17129373,CCCN1C(=O)/C(=C\c2cc(C)n(-c3ccc(OC)cc3)c2C)S/C1=N/c1ccccc1
17129147,CCOc1ccc(/N=C2/S/C(=C\c3cc(C)n(C)c3C)C(=O)N2C2CCCCC2)cc1
17129141,Cc1cc(/C=C2\S/C(=N/c3ccc(F)cc3)N(C3CCCCC3)C2=O)c(C)n1C
124752412,COCCCn1c(=N)c(C(=O)NCc2ccc(C)cc2)cc2c(=O)n3cccc(C)c3nc21
17023924,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(OC)c(OC)c3)c(=O)n2C1c1cccc([N+](=O)[O-])c1
17126528,Cc1cc(/C=C2\SC(=O)N(c3ccc(Cl)cc3)C2=O)c(C)n1-c1ccc(Cl)cc1
17034663,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(N(CC)CC)cc3OC)c(=O)n2C1c1ccccc1
124752050,COc1ccc(CNC(=O)c2cc3c(=O)n4cccc(C)c4nc3n(C)c2=N)cc1
17124938,C=CCOc1ccccc1/C=C1/S/C(=N/c2ccccc2)N(C2CCCCC2)C1=O
17124882,Cc1cc2c(cc1/C=C1\S/C(=N/c3ccccc3)N(C3CCCCC3)C1=O)OCO2
17124589,O=C1/C(=C\c2cccc(F)c2)S/C(=N/c2ccccc2)N1C1CCCCC1
17047938,COc1ccc(NC(=S)N2CCN(Cc3ccccc3)CC2)c(OC)c1
17119544,COCCN1C(=O)/C(=C\c2cc(C)n(-c3ccccc3)c2C)S/C1=N\c1ccccc1
124752293,COCCCn1c(=N)c(C(=O)NCc2ccc(F)cc2)cc2c(=O)n3cccc(C)c3nc21
17023923,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(Cl)cc3Cl)c(=O)n2C1c1cccc([N+](=O)[O-])c1
17119031,COc1ccc(NC2=NC(=O)/C(=C/c3cn(Cc4ccccc4)c4ccccc34)S2)cc1
17110368,Cc1cc(/C=C2/S/C(=N\c3ccccc3)NC2=O)c(C)n1-c1ccc(Cl)cc1
17095869,O=C1/C(=C/c2ccco2)S/C(=N/c2ccccc2)N1C1CCCC1
17095868,COc1cccc(/C=C2\S/C(=N/c3ccccc3)N(C3CCCC3)C2=O)c1OC
17095866,COc1cc(N2Cc3ccccc3C2)ccc1/C=C1\S/C(=N/c2ccccc2)N(C2CCCC2)C1=O
17095865,O=C1/C(=C/c2ccc(N3Cc4ccccc4C3)cc2)S/C(=N/c2ccccc2)N1C1CCCC1
160654526,COc1ccc(-c2cc(=O)oc3c4c(ccc23)OCN(Cc2cc(OC)c(OC)c(OC)c2)C4)cc1
17023922,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccccc3Cl)c(=O)n2C1c1cccc([N+](=O)[O-])c1
